Dosya,Yöntem,Entropy,Kontrast (Std),Renk Canlılığı,Kenar Yoğunluğu,Ort. Parlaklık,PSNR (dB),SSIM,İşlem Süresi (ms)
1405_1.png,CLAHE (LAB),7.5954,67.9818,30.3147,69.5075,151.093,16.471,0.7944,89.3
1405_1.png,"MSRCR (σ=[15,80,250])",7.0816,88.2996,33.8911,85.7003,139.5794,15.2653,0.7018,3231.93
1405_4.png,DCP (Dark Channel Prior),7.1161,73.9456,55.0968,47.114,111.8274,19.0457,0.9232,118.35
1405_4.png,CLAHE (LAB),7.546,64.7012,25.6738,63.5464,158.0836,15.0649,0.7891,147.82
1405_4.png,"MSRCR (σ=[15,80,250])",7.0945,87.3445,32.5695,81.6424,139.2269,15.1745,0.7092,2873.47
1405_6.png,DCP (Dark Channel Prior),7.1973,73.7477,53.6523,46.6972,113.6766,19.3109,0.9201,111.84
1405_6.png,CLAHE (LAB),7.3337,63.2059,23.1231,59.7497,163.2532,14.1747,0.7831,105.95
1405_6.png,"MSRCR (σ=[15,80,250])",7.1046,86.7477,31.5896,79.0046,139.1592,15.0409,0.7128,3152.21
1405_8.png,DCP (Dark Channel Prior),7.2177,73.3151,52.4991,46.4304,115.89,19.6959,0.9181,123.16
1405_8.png,CLAHE (LAB),7.2905,61.0743,20.8553,56.0972,167.7824,13.3822,0.7745,125.36
1405_8.png,"MSRCR (σ=[15,80,250])",7.1181,86.1226,30.6713,76.5701,139.1608,14.8505,0.7147,3418.83
1405_2.png,DCP (Dark Channel Prior),7.0971,74.3893,56.0692,47.3885,109.7999,18.6175,0.9235,116.25
1405_2.png,CLAHE (LAB),7.578,66.8487,28.6597,67.5771,153.5454,15.9613,0.7925,116.63
1405_2.png,"MSRCR (σ=[15,80,250])",7.0871,87.9944,33.4798,84.3529,139.4146,15.2595,0.7045,3525.64
1405_3.png,DCP (Dark Channel Prior),7.106,74.1708,55.5884,47.2403,110.8003,18.832,0.9236,116.78
1405_3.png,CLAHE (LAB),7.5617,65.8311,27.0889,65.5386,155.6874,15.5418,0.7914,118.59
1405_3.png,"MSRCR (σ=[15,80,250])",7.0918,87.6717,33.033,82.9766,139.3008,15.2271,0.7071,3777.61
1404_9.png,DCP (Dark Channel Prior),7.0416,83.6445,41.3101,49.2686,114.927,22.1282,0.9168,237.21
1404_9.png,CLAHE (LAB),7.0548,62.0021,19.3791,52.835,164.0309,12.9472,0.7481,117.01
1404_9.png,"MSRCR (σ=[15,80,250])",7.0722,93.327,32.8391,76.396,132.4762,15.0903,0.6764,3625.83
1405_7.png,DCP (Dark Channel Prior),7.2075,73.5214,53.0913,46.5463,114.7685,19.5067,0.9192,118.23
1405_7.png,CLAHE (LAB),7.3126,62.0723,21.9612,57.9031,165.6258,13.7505,0.7787,117.65
1405_7.png,"MSRCR (σ=[15,80,250])",7.1103,86.4346,31.1321,77.7622,139.1528,14.9497,0.7139,3884.02
1405_10.png,DCP (Dark Channel Prior),7.2348,72.8947,51.2841,46.1106,118.2604,20.0373,0.9153,81.1
